Cancer.Site,Stage.At.Diagnosis,Geography,Year,Age.Group,Gender,Race,Average.Annual.Population,Average.Annual.Observations,Age.Adj..Rate.per.100.000,X95..CI,counties
Colorectal,All,Spokane,2016-2020,All,Female,All,263176,45,12.5,"[10.9, 14.3]",Spokane
Colorectal,All,Spokane,2016-2020,All,All,All,521445,83,13.2,"[11.9, 14.6]",Spokane
Colorectal,All,Stevens,2016-2020,All,Male,All,22895,6,15.8,"[10.4, 24.5]",Stevens
Colorectal,All,Stevens,2016-2020,All,Female,All,22748,4,11.8,"[7.2, 19.9]",Stevens
Colorectal,All,Stevens,2016-2020,All,All,All,45643,10,13.8,"[10.2, 19.0]",Stevens
Colorectal,All,Thurston,2016-2020,All,Male,All,139164,20,12.6,"[10.2, 15.4]",Thurston
Colorectal,All,Thurston,2016-2020,All,Female,All,146165,19,10.0,"[8.0, 12.4]",Thurston
Colorectal,All,Thurston,2016-2020,All,All,All,285329,39,11.2,"[9.6, 12.9]",Thurston
Colorectal,All,Wahkiakum,2016-2020,All,Male,All,2139,NR,NR,NR,Wahkiakum
Colorectal,All,Wahkiakum,2016-2020,All,Female,All,2160,NR,NR,NR,Wahkiakum
Colorectal,All,Wahkiakum,2016-2020,All,All,All,4299,NR,NR,NR,Wahkiakum
Colorectal,All,Walla Walla,2016-2020,All,Male,All,31463,5,14.2,"[9.3, 21.3]",Walla Walla
Colorectal,All,Walla Walla,2016-2020,All,Female,All,30305,5,11.9,"[7.3, 18.9]",Walla Walla
Colorectal,All,Walla Walla,2016-2020,All,All,All,61767,10,12.7,"[9.3, 17.1]",Walla Walla
Colorectal,All,Whatcom,2016-2020,All,Male,All,108211,19,14.9,"[11.9, 18.4]",Whatcom
Colorectal,All,Whatcom,2016-2020,All,Female,All,111712,18,12.1,"[9.6, 15.2]",Whatcom
Colorectal,All,Whatcom,2016-2020,All,All,All,219923,36,13.4,"[11.5, 15.7]",Whatcom
Colorectal,All,Whitman,2016-2020,All,Male,All,23667,NR,NR,NR,Whitman
Colorectal,All,Whitman,2016-2020,All,Female,All,23662,NR,NR,NR,Whitman
Colorectal,All,Whitman,2016-2020,All,All,All,47329,3,7.0,"[3.9, 12.2]",Whitman
Colorectal,All,Yakima,2016-2020,All,Male,All,126641,21,16.9,"[13.8, 20.6]",Yakima
Colorectal,All,Yakima,2016-2020,All,Female,All,127169,18,11.7,"[9.3, 14.6]",Yakima
Colorectal,All,Yakima,2016-2020,All,All,All,253810,39,14.2,"[12.2, 16.4]",Yakima
Endometrium,All,Adams,2016-2020,All,Female,All,9889,NR,NR,NR,Adams
Endometrium,All,Asotin,2016-2020,All,Female,All,11370,NR,NR,NR,Asotin
Endometrium,All,Benton,2016-2020,All,Female,All,99958,3,2.7,"[1.6, 4.6]",Benton
Endometrium,All,Chelan,2016-2020,All,Female,All,38682,NR,NR,NR,Chelan
Endometrium,All,Clallam,2016-2020,All,Female,All,38345,2,2.8,"[1.2, 6.8]",Clallam
Endometrium,All,Clark,2016-2020,All,Female,All,243884,9,2.8,"[2.0, 3.8]",Clark
Endometrium,All,Columbia,2016-2020,All,Female,All,1998,NR,NR,NR,Columbia
Endometrium,All,Cowlitz,2016-2020,All,Female,All,54522,4,4.6,"[2.8, 7.7]",Cowlitz
Endometrium,All,Douglas,2016-2020,All,Female,All,20701,NR,NR,NR,Douglas
Endometrium,All,Ferry,2016-2020,All,Female,All,3550,NR,NR,NR,Ferry
Endometrium,All,Franklin,2016-2020,All,Female,All,44703,NR,NR,NR,Franklin
Endometrium,All,Garfield,2016-2020,All,Female,All,1124,NR,NR,NR,Garfield
Endometrium,All,Grant,2016-2020,All,Female,All,46950,NR,NR,NR,Grant
Endometrium,All,Grays Harbor,2016-2020,All,Female,All,36373,NR,NR,NR,Grays Harbor
Endometrium,All,Island,2016-2020,All,Female,All,42860,3,4.1,"[2.1, 8.0]",Island
Endometrium,All,Jefferson,2016-2020,All,Female,All,16416,NR,NR,NR,Jefferson
Endometrium,All,King,2016-2020,All,Female,All,1094637,41,3.2,"[2.8, 3.7]",King
Endometrium,All,Kitsap,2016-2020,All,Female,All,132989,5,2.8,"[1.8, 4.3]",Kitsap
Endometrium,All,Kittitas,2016-2020,All,Female,All,22165,NR,NR,NR,Kittitas
Endometrium,All,Klickitat,2016-2020,All,Female,All,10818,NR,NR,NR,Klickitat
Endometrium,All,Lewis,2016-2020,All,Female,All,40148,NR,NR,NR,Lewis
Endometrium,All,Lincoln,2016-2020,All,Female,All,5351,NR,NR,NR,Lincoln
Endometrium,All,Mason,2016-2020,All,Female,All,31257,NR,NR,NR,Mason
Endometrium,All,Okanogan,2016-2020,All,Female,All,20466,NR,NR,NR,Okanogan
Endometrium,All,Pacific,2016-2020,All,Female,All,11398,NR,NR,NR,Pacific
Endometrium,All,Pend Oreille,2016-2020,All,Female,All,6542,NR,NR,NR,Pend Oreille
Endometrium,All,Pierce,2016-2020,All,Female,All,449353,16,2.9,"[2.3, 3.6]",Pierce
Endometrium,All,San Juan,2016-2020,All,Female,All,8842,NR,NR,NR,San Juan
Endometrium,All,Skagit,2016-2020,All,Female,All,63868,NR,NR,NR,Skagit
Endometrium,All,Skamania,2016-2020,All,Female,All,5607,NR,NR,NR,Skamania
Endometrium,All,Snohomish,2016-2020,All,Female,All,400972,14,2.8,"[2.2, 3.6]",Snohomish
Endometrium,All,Spokane,2016-2020,All,Female,All,263176,8,2.1,"[1.5, 3.0]",Spokane
Endometrium,All,Stevens,2016-2020,All,Female,All,22748,NR,NR,NR,Stevens
Endometrium,All,Thurston,2016-2020,All,Female,All,146165,5,2.8,"[1.8, 4.2]",Thurston
Endometrium,All,Wahkiakum,2016-2020,All,Female,All,2160,NR,NR,NR,Wahkiakum
Endometrium,All,Walla Walla,2016-2020,All,Female,All,30305,NR,NR,NR,Walla Walla
Endometrium,All,Whatcom,2016-2020,All,Female,All,111712,5,3.0,"[1.9, 4.7]",Whatcom
Endometrium,All,Whitman,2016-2020,All,Female,All,23662,NR,NR,NR,Whitman
Endometrium,All,Yakima,2016-2020,All,Female,All,127169,4,2.4,"[1.5, 4.0]",Yakima
Esophagus,All,Adams,2016-2020,All,Male,All,10282,NR,NR,NR,Adams
Esophagus,All,Adams,2016-2020,All,Female,All,9889,NR,NR,NR,Adams
Esophagus,All,Adams,2016-2020,All,All,All,20172,NR,NR,NR,Adams
Esophagus,All,Asotin,2016-2020,All,Male,All,10756,NR,NR,NR,Asotin
Esophagus,All,Asotin,2016-2020,All,Female,All,11370,NR,NR,NR,Asotin
Esophagus,All,Asotin,2016-2020,All,All,All,22126,NR,NR,NR,Asotin
Esophagus,All,Benton,2016-2020,All,Male,All,98978,8,8.3,"[5.9, 11.5]",Benton
Esophagus,All,Benton,2016-2020,All,Female,All,99958,2,1.9,"[1.0, 3.6]",Benton
Esophagus,All,Benton,2016-2020,All,All,All,198936,10,4.8,"[3.6, 6.4]",Benton
Esophagus,All,Chelan,2016-2020,All,Male,All,38595,3,5.2,"[2.9, 9.3]",Chelan
Esophagus,All,Chelan,2016-2020,All,Female,All,38682,NR,NR,NR,Chelan
Esophagus,All,Chelan,2016-2020,All,All,All,77278,4,3.6,"[2.2, 5.8]",Chelan
Esophagus,All,Clallam,2016-2020,All,Male,All,37283,6,8.7,"[5.6, 13.7]",Clallam
Esophagus,All,Clallam,2016-2020,All,Female,All,38345,NR,NR,NR,Clallam
Esophagus,All,Clallam,2016-2020,All,All,All,75628,8,4.9,"[3.3, 7.4]",Clallam
Esophagus,All,Clark,2016-2020,All,Male,All,237977,21,7.7,"[6.2, 9.4]",Clark
Esophagus,All,Clark,2016-2020,All,Female,All,243884,5,1.5,"[0.9, 2.2]",Clark
Esophagus,All,Clark,2016-2020,All,All,All,481861,25,4.3,"[3.5, 5.1]",Clark
Esophagus,All,Columbia,2016-2020,All,Male,All,1973,NR,NR,NR,Columbia
Esophagus,All,Columbia,2016-2020,All,Female,All,1998,NR,NR,NR,Columbia
Esophagus,All,Columbia,2016-2020,All,All,All,3971,NR,NR,NR,Columbia
Esophagus,All,Cowlitz,2016-2020,All,Male,All,53421,7,9.8,"[6.9, 14.0]",Cowlitz
Esophagus,All,Cowlitz,2016-2020,All,Female,All,54522,2,2.4,"[1.1, 5.0]",Cowlitz
Esophagus,All,Cowlitz,2016-2020,All,All,All,107943,9,5.9,"[4.3, 8.0]",Cowlitz
Esophagus,All,Douglas,2016-2020,All,Male,All,20946,2,9.2,"[4.7, 17.2]",Douglas
Esophagus,All,Douglas,2016-2020,All,Female,All,20701,NR,NR,NR,Douglas
Esophagus,All,Douglas,2016-2020,All,All,All,41647,3,5.3,"[2.9, 9.5]",Douglas
Esophagus,All,Ferry,2016-2020,All,Male,All,3694,NR,NR,NR,Ferry
Esophagus,All,Ferry,2016-2020,All,Female,All,3550,NR,NR,NR,Ferry
Esophagus,All,Ferry,2016-2020,All,All,All,7245,NR,NR,NR,Ferry
Esophagus,All,Franklin,2016-2020,All,Male,All,47829,NR,NR,NR,Franklin
Esophagus,All,Franklin,2016-2020,All,Female,All,44703,NR,NR,NR,Franklin
Esophagus,All,Franklin,2016-2020,All,All,All,92532,NR,NR,NR,Franklin
Esophagus,All,Garfield,2016-2020,All,Male,All,1149,NR,NR,NR,Garfield
Esophagus,All,Garfield,2016-2020,All,Female,All,1124,NR,NR,NR,Garfield
Esophagus,All,Garfield,2016-2020,All,All,All,2272,NR,NR,NR,Garfield
Esophagus,All,Grant,2016-2020,All,Male,All,49209,4,8.6,"[5.2, 13.6]",Grant
Esophagus,All,Grant,2016-2020,All,Female,All,46950,NR,NR,NR,Grant
Esophagus,All,Grant,2016-2020,All,All,All,96159,5,5.2,"[3.4, 7.9]",Grant
Esophagus,All,Grays Harbor,2016-2020,All,Male,All,38179,5,8.6,"[5.4, 13.5]",Grays Harbor
Esophagus,All,Grays Harbor,2016-2020,All,Female,All,36373,NR,NR,NR,Grays Harbor
Esophagus,All,Grays Harbor,2016-2020,All,All,All,74552,5,4.4,"[2.8, 6.8]",Grays Harbor
Esophagus,All,Island,2016-2020,All,Male,All,42072,4,6.1,"[3.5, 10.5]",Island
Esophagus,All,Island,2016-2020,All,Female,All,42860,NR,NR,NR,Island
Esophagus,All,Island,2016-2020,All,All,All,84932,5,3.8,"[2.4, 6.2]",Island
Esophagus,All,Jefferson,2016-2020,All,Male,All,15920,2,4.9,"[2.4, 14.8]",Jefferson
Esophagus,All,Jefferson,2016-2020,All,Female,All,16416,NR,NR,NR,Jefferson
Esophagus,All,Jefferson,2016-2020,All,All,All,32336,2,2.5,"[1.3, 7.8]",Jefferson
Esophagus,All,King,2016-2020,All,Male,All,1096115,60,5.8,"[5.1, 6.5]",King
Esophagus,All,King,2016-2020,All,Female,All,1094637,18,1.4,"[1.2, 1.8]",King
Esophagus,All,King,2016-2020,All,All,All,2190752,78,3.4,"[3.1, 3.8]",King
Esophagus,All,Kitsap,2016-2020,All,Male,All,136205,11,6.5,"[4.9, 8.7]",Kitsap
Esophagus,All,Kitsap,2016-2020,All,Female,All,132989,NR,NR,NR,Kitsap
Esophagus,All,Kitsap,2016-2020,All,All,All,269194,12,3.4,"[2.6, 4.4]",Kitsap
Esophagus,All,Kittitas,2016-2020,All,Male,All,22480,NR,NR,NR,Kittitas
Esophagus,All,Kittitas,2016-2020,All,Female,All,22165,NR,NR,NR,Kittitas
Esophagus,All,Kittitas,2016-2020,All,All,All,44645,NR,NR,NR,Kittitas
Esophagus,All,Klickitat,2016-2020,All,Male,All,11295,NR,NR,NR,Klickitat
Esophagus,All,Klickitat,2016-2020,All,Female,All,10818,NR,NR,NR,Klickitat
Esophagus,All,Klickitat,2016-2020,All,All,All,22113,NR,NR,NR,Klickitat
Esophagus,All,Lewis,2016-2020,All,Male,All,40168,5,9.3,"[6.0, 14.1]",Lewis
Esophagus,All,Lewis,2016-2020,All,Female,All,40148,NR,NR,NR,Lewis
Esophagus,All,Lewis,2016-2020,All,All,All,80317,6,5.2,"[3.5, 7.7]",Lewis
Esophagus,All,Lincoln,2016-2020,All,Male,All,5414,NR,NR,NR,Lincoln
Esophagus,All,Lincoln,2016-2020,All,Female,All,5351,NR,NR,NR,Lincoln
Esophagus,All,Lincoln,2016-2020,All,All,All,10765,NR,NR,NR,Lincoln
Esophagus,All,Mason,2016-2020,All,Male,All,33239,4,7.7,"[4.5, 13.0]",Mason
Esophagus,All,Mason,2016-2020,All,Female,All,31257,NR,NR,NR,Mason
Esophagus,All,Mason,2016-2020,All,All,All,64496,5,4.7,"[3.0, 7.5]",Mason
Esophagus,All,Okanogan,2016-2020,All,Male,All,21467,3,7.3,"[3.7, 14.3]",Okanogan
Esophagus,All,Okanogan,2016-2020,All,Female,All,20466,NR,NR,NR,Okanogan
Esophagus,All,Okanogan,2016-2020,All,All,All,41932,3,4.1,"[2.3, 7.7]",Okanogan
Esophagus,All,Pacific,2016-2020,All,Male,All,11357,2,9.7,"[4.7, 22.3]",Pacific
Esophagus,All,Pacific,2016-2020,All,Female,All,11398,NR,NR,NR,Pacific
Esophagus,All,Pacific,2016-2020,All,All,All,22755,3,6.2,"[3.4, 12.9]",Pacific
Esophagus,All,Pend Oreille,2016-2020,All,Male,All,6738,NR,NR,NR,Pend Oreille
Esophagus,All,Pend Oreille,2016-2020,All,Female,All,6542,NR,NR,NR,Pend Oreille
Esophagus,All,Pend Oreille,2016-2020,All,All,All,13280,NR,NR,NR,Pend Oreille
Esophagus,All,Pierce,2016-2020,All,Male,All,442332,33,7.3,"[6.2, 8.6]",Pierce
Esophagus,All,Pierce,2016-2020,All,Female,All,449353,8,1.5,"[1.1, 2.1]",Pierce
Esophagus,All,Pierce,2016-2020,All,All,All,891685,41,4.1,"[3.6, 4.8]",Pierce
Esophagus,All,San Juan,2016-2020,All,Male,All,8396,NR,NR,NR,San Juan
Esophagus,All,San Juan,2016-2020,All,Female,All,8842,NR,NR,NR,San Juan
Esophagus,All,San Juan,2016-2020,All,All,All,17238,NR,NR,NR,San Juan
Esophagus,All,Skagit,2016-2020,All,Male,All,62062,10,11.5,"[8.5, 15.5]",Skagit
Esophagus,All,Skagit,2016-2020,All,Female,All,63868,2,2.1,"[1.1, 4.4]",Skagit
Esophagus,All,Skagit,2016-2020,All,All,All,125929,12,6.5,"[5.0, 8.6]",Skagit
Esophagus,All,Skamania,2016-2020,All,Male,All,5817,NR,NR,NR,Skamania
Esophagus,All,Skamania,2016-2020,All,Female,All,5607,NR,NR,NR,Skamania
Esophagus,All,Skamania,2016-2020,All,All,All,11424,NR,NR,NR,Skamania
Esophagus,All,Snohomish,2016-2020,All,Male,All,399947,31,7.6,"[6.4, 9.0]",Snohomish
Esophagus,All,Snohomish,2016-2020,All,Female,All,400972,8,1.6,"[1.1, 2.2]",Snohomish
Esophagus,All,Snohomish,2016-2020,All,All,All,800919,39,4.3,"[3.7, 5.0]",Snohomish
Esophagus,All,Spokane,2016-2020,All,Male,All,258269,25,8.5,"[7.0, 10.2]",Spokane
Esophagus,All,Spokane,2016-2020,All,Female,All,263176,7,2.0,"[1.4, 2.9]",Spokane
Esophagus,All,Spokane,2016-2020,All,All,All,521445,33,4.9,"[4.2, 5.8]",Spokane
Esophagus,All,Stevens,2016-2020,All,Male,All,22895,5,11.5,"[7.1, 19.3]",Stevens
Esophagus,All,Stevens,2016-2020,All,Female,All,22748,NR,NR,NR,Stevens
Esophagus,All,Stevens,2016-2020,All,All,All,45643,5,5.8,"[3.7, 9.6]",Stevens
Esophagus,All,Thurston,2016-2020,All,Male,All,139164,9,5.1,"[3.6, 7.0]",Thurston
Esophagus,All,Thurston,2016-2020,All,Female,All,146165,2,1.1,"[0.6, 2.2]",Thurston
Esophagus,All,Thurston,2016-2020,All,All,All,285329,11,2.9,"[2.2, 3.8]",Thurston
Esophagus,All,Wahkiakum,2016-2020,All,Male,All,2139,NR,NR,NR,Wahkiakum
Esophagus,All,Wahkiakum,2016-2020,All,Female,All,2160,NR,NR,NR,Wahkiakum
Esophagus,All,Wahkiakum,2016-2020,All,All,All,4299,NR,NR,NR,Wahkiakum
Esophagus,All,Walla Walla,2016-2020,All,Male,All,31463,3,8.4,"[4.8, 14.1]",Walla Walla
Esophagus,All,Walla Walla,2016-2020,All,Female,All,30305,NR,NR,NR,Walla Walla
Esophagus,All,Walla Walla,2016-2020,All,All,All,61767,4,4.7,"[2.8, 7.7]",Walla Walla
Esophagus,All,Whatcom,2016-2020,All,Male,All,108211,12,9.7,"[7.4, 12.7]",Whatcom
Esophagus,All,Whatcom,2016-2020,All,Female,All,111712,3,1.6,"[0.9, 3.0]",Whatcom
Esophagus,All,Whatcom,2016-2020,All,All,All,219923,15,5.3,"[4.1, 6.7]",Whatcom
Esophagus,All,Whitman,2016-2020,All,Male,All,23667,NR,NR,NR,Whitman
Esophagus,All,Whitman,2016-2020,All,Female,All,23662,NR,NR,NR,Whitman
Esophagus,All,Whitman,2016-2020,All,All,All,47329,2,5.2,"[2.6, 10.0]",Whitman
Esophagus,All,Yakima,2016-2020,All,Male,All,126641,9,6.7,"[4.8, 9.1]",Yakima
Esophagus,All,Yakima,2016-2020,All,Female,All,127169,2,1.6,"[0.8, 2.9]",Yakima
Esophagus,All,Yakima,2016-2020,All,All,All,253810,11,4.0,"[3.0, 5.2]",Yakima
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Chelan
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Douglas
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Grant
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Kittitas
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Yakima
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Benton
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Franklin
Hodgkin Lymphoma,All,Central,2016-2020,All,Male,All,415973,NR,NR,NR,Klickitat
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Chelan
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Douglas
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Grant
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Kittitas
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Yakima
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Benton
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Franklin
Hodgkin Lymphoma,All,Central,2016-2020,All,Female,All,411147,2,0.4,"[0.2, 0.8]",Klickitat
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Chelan
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Douglas
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Grant
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Kittitas
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Yakima
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Benton
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Franklin
Hodgkin Lymphoma,All,Central,2016-2020,All,All,All,827119,4,0.4,"[0.2, 0.7]",Klickitat
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Okanogan
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Ferry
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Stevens
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Pend Oreille
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Lincoln
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Spokane
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Adams
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Whitman
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Walla Walla
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Columbia
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Garfield
Hodgkin Lymphoma,All,East,2016-2020,All,Male,All,397767,2,0.5,"[0.2, 1.0]",Asotin
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Okanogan
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Ferry
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Stevens
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Pend Oreille
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Lincoln
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Spokane
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Adams
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Whitman
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Walla Walla
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Columbia
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Garfield
Hodgkin Lymphoma,All,East,2016-2020,All,Female,All,400181,NR,NR,NR,Asotin
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Okanogan
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Ferry
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Stevens
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Pend Oreille
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Lincoln
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Spokane
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Adams
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Whitman
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Walla Walla
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Columbia
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Garfield
Hodgkin Lymphoma,All,East,2016-2020,All,All,All,797948,3,0.4,"[0.2, 0.6]",Asotin
Hodgkin Lymphoma,All,King,2016-2020,All,Male,All,1096115,NR,NR,NR,King
Hodgkin Lymphoma,All,King,2016-2020,All,Female,All,1094637,NR,NR,NR,King
Hodgkin Lymphoma,All,King,2016-2020,All,All,All,2190752,3,0.1,"[0.1, 0.2]",King
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,Male,All,578537,NR,NR,NR,Kitsap
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,Male,All,578537,NR,NR,NR,Pierce
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,Female,All,582342,NR,NR,NR,Kitsap
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,Female,All,582342,NR,NR,NR,Pierce
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,All,All,1160879,NR,NR,NR,Kitsap
Hodgkin Lymphoma,All,Kitsap-Pierce,2016-2020,All,All,All,1160879,NR,NR,NR,Pierce
Hodgkin Lymphoma,All,North,2016-2020,All,Male,All,620688,2,0.3,"[0.2, 0.6]",Whatcom
Hodgkin Lymphoma,All,North,2016-2020,All,Male,All,620688,2,0.3,"[0.2, 0.6]",Skagit
Hodgkin Lymphoma,All,North,2016-2020,All,Male,All,620688,2,0.3,"[0.2, 0.6]",Snohomish
Hodgkin Lymphoma,All,North,2016-2020,All,Male,All,620688,2,0.3,"[0.2, 0.6]",Island
Hodgkin Lymphoma,All,North,2016-2020,All,Male,All,620688,2,0.3,"[0.2, 0.6]",San Juan
Hodgkin Lymphoma,All,North,2016-2020,All,Female,All,628254,NR,NR,NR,Whatcom
Hodgkin Lymphoma,All,North,2016-2020,All,Female,All,628254,NR,NR,NR,Skagit
Hodgkin Lymphoma,All,North,2016-2020,All,Female,All,628254,NR,NR,NR,Snohomish
Hodgkin Lymphoma,All,North,2016-2020,All,Female,All,628254,NR,NR,NR,Island
Hodgkin Lymphoma,All,North,2016-2020,All,Female,All,628254,NR,NR,NR,San Juan
Hodgkin Lymphoma,All,North,2016-2020,All,All,All,1248942,4,0.3,"[0.2, 0.4]",Whatcom
Hodgkin Lymphoma,All,North,2016-2020,All,All,All,1248942,4,0.3,"[0.2, 0.4]",Skagit
Hodgkin Lymphoma,All,North,2016-2020,All,All,All,1248942,4,0.3,"[0.2, 0.4]",Snohomish
Hodgkin Lymphoma,All,North,2016-2020,All,All,All,1248942,4,0.3,"[0.2, 0.4]",Island
Hodgkin Lymphoma,All,North,2016-2020,All,All,All,1248942,4,0.3,"[0.2, 0.4]",San Juan
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Clallam
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Jefferson
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Grays Harbor
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Mason
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Thurston
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Pacific
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Lewis
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Cowlitz
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Skamania
Hodgkin Lymphoma,All,West,2016-2020,All,Male,All,614665,3,0.4,"[0.2, 0.7]",Clark
Hodgkin Lymphoma,All,West,2016-2020,All,Female,All,626275,NR,NR,NR,Clallam
Hodgkin Lymphoma,All,West,2016-2020,All,Female,All,626275,NR,NR,NR,Jefferson
Hodgkin Lymphoma,All,West,2016-2020,All,Female,All,626275,NR,NR,NR,Grays Harbor
Hodgkin Lymphoma,All,West,2016-2020,All,Female,All,626275,NR,NR,NR,Mason
Hodgkin Lymphoma,All,West,2016-2020,All,Female,All,626275,NR,NR,NR,Thurston
